Designator,Footprint,Quantity,Value,LCSC Part #
"C302, C305, C307, C309, C311, C312, C313, C314, C323, C325, C326, C327, C328, C330, C331, C332, C335, C402, C403, C404, C405, C413, C414, C415, C502, C503, C504",C_0402,27,100nF,C1525
"C303, C304, C306, C308, C310, C320, C324, C401, C501",C_0603,9,10uF,C92487
"C315, C316, C322, C329",C_0402,4,4.7uF,C318563
C317,C_0402,1,100pF,C26409
"C318, C319",C_0402,2,10pF,C472444
"C321, C406",C_0402,2,1uF,C29266
"C333, C334",C_0402,2,22pF,C70464
"C407, C408, C411, C412",C_0402,4,18pF,C106202
D301,LED_0402,1,LED_RED,C264407
"D302, D303",D_SOD-123F,2,MBR1020VL,
D401,LED_0402,1,LED_GREEN,C2980183
"D402, D403, D404, D405, D406, D407, D501, D502, D503, D504, D505, D506",DFN1006-2_SMD0402,12,ESD5V0B03-1006,C521894
J301,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16PIN,C2765186
J501,SAMTEC_FTSH-105-XX-X-DV,1,Conn_ARM_JTAG_SWD_10,
J502,PinHeader_2x12_P2.54mm_Vertical,1,Conn_02x12_Odd_Even,
L301,1008,1,2.2uH,C383382
"L302, L303",0805,2,120R@100MHz,C88990
Q401,SOT-323_SC-70,1,SS8550,C47355426
"R301, R304, R314",R_0402,3,100k,C106234
R302,R_0402,1,453k,C137978
"R303, R310, R313, R322, R323, R409, R415, R416, R418, R420",R_0402,10,10k,C60490
"R306, R307",R_0402,2,5.1k,C105872
R309,R_0402,1,10M,C138067 
R315,R_0402,1,649R,C227180
R316,R_0402,1,47.5k,C137974
"R317, R414, R417, R501, R506, R507",R_0402,6,0R,C106231
"R318, R319, R320, R321, R410, R411, R412",R_0402,7,22R,C114765
"R324, R407, R408",R_0402,3,4.7k,C105871
"R401, R403, R404, R413",R_0402,4,1.5k,C114759
"R405, R406",R_0402,2,33R,C138002
"SW401, SW402, SW403",TS_6x6mm,3,TAC_SW_4P_6mm,C455114
TR301,750315240,1,750315240,
U301,SOT-23-5,1,ТРАР22811AW5,C23380905
U302,SOT-563,1,TPS62A02A,C5820994
U303,SOT-666,1,USBLC6-2P6,
U304,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CY7C65634,C2951393
U305,SOT-23-6,1,SN6505ADBV,C2650143
U306,SOIC-16W_7.5x10.3mm_P1.27mm,1,ADUM4160,C57791
U307,QFN-28-1EP_4x4mm_P0.4mm_EP2.3x2.3mm,1,CH347F,
U401,LQFP-48_7x7mm_P0.5mm,1,STM32F103CBTx,
U501,USP-6B06,1,XC8111AA018R-G,
U502,VSSOP-8_2.3x2mm_P0.5mm,1,TXB0102DCU,C2677366
Y301,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,12MHz,C1985574
Y302,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,8MHz,
Y402,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,8MHz,C37635403
