Designator,Mid X,Mid Y,Rotation,Layer
C302,39.2,-26.11,270.0,top
C303,41.1,-26.29,270.0,top
C304,34.3,-26.71,270.0,top
C305,35.8,-26.11,270.0,top
C306,8.0,-8.325,90.0,top
C307,9.35,-8.85,90.0,top
C308,11.9625,-3.825,90.0,top
C309,10.6125,-4.3625,90.0,top
C310,30.4,-7.1,180.0,top
C311,29.6,-13.9,0.0,top
C312,37.9,-8.4,0.0,top
C313,37.649999,-16.25,270.0,top
C314,34.3,-16.25,270.0,top
C315,37.9,-7.3,0.0,top
C316,36.55,-16.25,270.0,top
C317,3.5,-6.1875,0.0,top
C318,38.15,-10.075,0.0,top
C319,39.05,-14.675,180.0,top
C320,5.6,-23.15,90.0,top
C321,33.65,-7.35,90.0,top
C322,29.6,-10.6,0.0,top
C323,29.6,-11.7,0.0,top
C324,30.95,-23.95,90.0,top
C325,28.82,-23.93,270.0,top
C326,13.1,-7.9,270.0,top
C327,26.3,-9.7,90.0,top
C328,39.95,-7.35,270.0,top
C329,41.15,-7.35,270.0,top
C330,46.35,-12.600001,270.0,top
C331,13.1,-9.9,90.0,top
C332,26.3,-7.6,270.0,top
C333,41.65,-12.75,270.0,top
C334,42.95,-12.75,90.0,top
C335,44.759999,-13.22246,0.0,top
C401,50.05,-7.9,270.0,top
C402,60.9,-11.0,90.0,top
C403,58.8425,-18.99,180.0,top
C404,49.95,-16.9,180.0,top
C405,51.35,-8.4,90.0,top
C406,58.8425,-20.09,180.0,top
C407,48.8625,-12.3,180.0,top
C408,48.65,-15.6,180.0,top
C411,64.5,-16.1,180.0,top
C412,64.35,-11.0,90.0,top
C413,64.95,-18.85,180.0,top
C414,63.2,-11.0,90.0,top
C415,58.95,-23.69,270.0,top
C501,24.7,-1.35,180.0,top
C502,65.2,-6.05,90.0,bottom
C503,59.1,-4.95,90.0,bottom
C504,42.02,-19.8,0.0,top
D301,10.0,-2.7,180.0,top
D302,29.92,-20.1,180.0,top
D303,29.97,-27.7,180.0,top
D401,55.95,-19.6,90.0,top
D402,58.95,-25.95,270.0,top
D403,58.95,-27.55,90.0,top
D404,52.65,-19.4,90.0,top
D405,50.45,-19.4,90.0,top
D406,50.85,-23.05,90.0,top
D407,25.31,-4.15,90.0,top
D501,64.5,-1.0,270.0,top
D502,61.2,-1.0,270.0,top
D503,65.55,-1.55,270.0,top
D504,59.9,-1.75,0.0,top
D505,58.6,-1.55,270.0,top
D506,58.3,-5.6,90.0,top
J301,2.41,-12.25,270.0,top
J501,62.62,-6.1,0.0,top
J502,41.97,-3.22,90.0,top
L301,38.3,-23.19,0.0,top
L302,14.5125,-4.1,0.0,top
L303,27.7,-11.7,270.0,top
Q401,46.3525,-16.8,90.0,top
R301,35.9,-28.81,270.0,top
R302,39.2,-28.81,90.0,top
R303,9.5125,-4.3625,270.0,top
R304,37.0,-28.81,90.0,top
R306,8.55,-10.55,0.0,top
R307,8.55,-14.1875,0.0,top
R309,1.5,-6.1875,0.0,top
R310,30.1,-8.85,90.0,top
R313,32.55,-7.35,270.0,top
R314,27.9,-8.5,90.0,top
R315,35.45,-16.25,270.0,top
R316,34.75,-7.35,90.0,top
R317,29.6,-12.8,0.0,top
R318,12.6,-13.1,0.0,top
R319,27.1,-15.8,180.0,top
R320,12.6,-11.9,0.0,top
R321,27.1,-14.6,180.0,top
R322,48.85,-10.15,180.0,top
R323,48.251,-8.5,180.0,top
R324,44.759999,-12.15,180.0,top
R401,48.3,-19.6,270.0,top
R403,46.7,-19.54,270.0,top
R404,46.54,-14.5,0.0,top
R405,48.8625,-13.4,0.0,top
R406,48.8625,-14.5,0.0,top
R407,55.7,-6.85,0.0,top
R408,57.9,-7.05,0.0,top
R409,53.6,-7.1,0.0,top
R410,51.55,-19.6,270.0,top
R411,49.4,-19.6,270.0,top
R412,53.78,-19.6,270.0,top
R413,54.9,-19.6,270.0,top
R414,57.0425,-19.6,270.0,top
R415,62.85,-20.0,0.0,top
R416,62.05,-11.0,270.0,top
R417,64.95,-20.0,0.0,top
R418,58.95,-21.69,270.0,top
R420,58.0,-4.95,90.0,bottom
R501,39.69,-17.75,0.0,top
R506,60.95,-3.9,180.0,bottom
R507,63.0,-3.9,0.0,bottom
SW401,62.75,-25.625,90.0,top
SW402,47.0,-25.675,90.0,top
SW403,54.65,-25.625,90.0,top
TR301,19.42,-23.9,0.0,top
U301,6.7625,-3.6375,0.0,top
U302,37.4,-26.31,270.0,top
U303,10.0,-12.4375,0.0,top
U304,33.7833,-11.469238,180.0,top
U305,8.7,-23.8625,0.0,top
U306,19.7,-11.4,270.0,top
U307,44.4875,-8.9875,180.0,top
U401,55.1,-13.2,90.0,top
U501,43.19,-18.3,180.0,top
U502,61.95,-5.9,180.0,bottom
Y301,39.0,-12.375,270.0,top
Y302,42.3,-15.5,90.0,top
Y402,64.5,-13.825,270.0,top
